PROCEDIMIENTO,ARS,CODIGO,SIMON,MONTO
CISTORRAFIA,FUTURO,,,
CISTORRAFIA,UNIVERSAL,,,
CISTORRAFIA,MONUMENTAL,,,
CISTORRAFIA,RESERVAS,,,
CISTORRAFIA,APS,,,
CISTOSTOMIA CERRADA (PERCUTANEA) SUPRAPUBICA,HUMANO,5082,,11340
CISTOSTOMIA CERRADA (PERCUTANEA) SUPRAPUBICA,MAPFRE,571220,,11520
CISTOSTOMIA CERRADA (PERCUTANEA) SUPRAPUBICA,SENASA,,117362,11710.08
CISTOSTOMIA CERRADA (PERCUTANEA) SUPRAPUBICA,SEMMA,,4395,15000
CISTOSTOMIA CERRADA (PERCUTANEA) SUPRAPUBICA,FUTURO,,,
CISTOSTOMIA CERRADA (PERCUTANEA) SUPRAPUBICA,UNIVERSAL,571220,,11520
CISTOSTOMIA CERRADA (PERCUTANEA) SUPRAPUBICA,MONUMENTAL,,4395,13680
CISTOSTOMIA CERRADA (PERCUTANEA) SUPRAPUBICA,RESERVAS,9152,4395,19200
CISTOSTOMIA CERRADA (PERCUTANEA) SUPRAPUBICA,APS,,,
FULGURACION O RESECCION DE LESION EN PENE SOD+,HUMANO,,,
FULGURACION O RESECCION DE LESION EN PENE SOD+,MAPFRE,642100,,11520
FULGURACION O RESECCION DE LESION EN PENE SOD+,SENASA,642100,237,15408
FULGURACION O RESECCION DE LESION EN PENE SOD+,SEMMA,642100,237,9600
FULGURACION O RESECCION DE LESION EN PENE SOD+,FUTURO,642100,237,15408
FULGURACION O RESECCION DE LESION EN PENE SOD+,UNIVERSAL,642100,,11520
FULGURACION O RESECCION DE LESION EN PENE SOD+,MONUMENTAL,642100,237,14400
FULGURACION O RESECCION DE LESION EN PENE SOD+,RESERVAS,,237,11520
FULGURACION O RESECCION DE LESION EN PENE SOD+,APS,,,
REPARACION DE INCONTINENICA URINARIA POR ESFUERZO,HUMANO,,,
REPARACION DE INCONTINENICA URINARIA POR ESFUERZO,MAPFRE,597990,,34560
REPARACION DE INCONTINENICA URINARIA POR ESFUERZO,SENASA,597990,224,15408
REPARACION DE INCONTINENICA URINARIA POR ESFUERZO,SEMMA,597990,224,30000
REPARACION DE INCONTINENICA URINARIA POR ESFUERZO,FUTURO,597990,,10700
REPARACION DE INCONTINENICA URINARIA POR ESFUERZO,UNIVERSAL,597990,,10700
REPARACION DE INCONTINENICA URINARIA POR ESFUERZO,MONUMENTAL,224,,43200
REPARACION DE INCONTINENICA URINARIA POR ESFUERZO,RESERVAS,,,
REPARACION DE INCONTINENICA URINARIA POR ESFUERZO,APS,,418,36000
